Summary,Issue Type,Epic Name,Epic Link,Description,Priority,Labels
Add item_parser clipboard parsing tests,Story,,Testing and Quality,"Test suite for item_parser.py: parsing all item classes (weapons; armor; jewelry; currency; gems; maps); edge cases (unidentified; corrupted; mirrored; fractured); section separator handling; DPS and defense extraction accuracy.",Medium,testing
Add trade_client query building tests,Story,,Testing and Quality,"Test suite for trade_client.py: query JSON structure validation; progressive search strategy; common mod filtering; value-dependent minimums; DPS/defense equipment_filters; outlier trimming; rate limiting behavior. Mock the HTTP layer.",Medium,testing
Add end-to-end pipeline integration tests,Story,,Testing and Quality,"Full pipeline tests: clipboard text → parse → score → price lookup → overlay display text. Use archived clipboard captures as input and validate the complete output chain. Should catch regressions in the interaction between components.",Medium,testing
Set up GitHub Actions CI,Story,,Testing and Quality,"Configure CI to run the full test suite on every push and PR. Include: pytest run; linting (ruff or flake8); type checking (mypy optional). Badge in README showing build status.",Medium,testing
Add cross-platform and resolution testing,Story,,Testing and Quality,"Test and document behavior across different setups: 1080p; 1440p; 4K; ultrawide; multi-monitor with various DPI settings. The overlay positioning and screen boundary detection in overlay.py need validation. Create a test matrix.",Low,testing
Loot Filter Intelligence,Epic,Loot Filter Intelligence,,Enhance the loot filter auto-updater with smarter economy-driven tiering; user overrides; and better UX around filter changes.,Medium,filter
Add per-base-type value thresholds,Story,,Loot Filter Intelligence,"Current filter tiering uses broad category thresholds. Add per-base-type awareness so e.g. a Heavy Belt (chanceable to Headhunter) gets special treatment even though 'normal belts' as a category are hidden.",Medium,filter
Add user-configurable tier overrides,Story,,Loot Filter Intelligence,"Let users pin specific items to always-show or always-hide regardless of economy data. Persist overrides in a local config file. Useful for SSF players or niche builds that value items differently from the trade economy.",Medium,filter
Add filter diff preview before applying,Story,,Loot Filter Intelligence,"Before writing the updated filter show the user a summary of what changed: items promoted; items demoted; new items added. Let them approve or reject the update. Could be a console summary or a GUI diff view.",Medium,filter
Support multiple filter profiles,Story,,Loot Filter Intelligence,"Allow users to maintain multiple filter profiles (e.g. Strict; Semi-Strict; Relaxed) that all get economy-updated. Each profile has different base thresholds but the same economy data drives the tiering.",Low,filter
Add real-time filter reload notification,Story,,Loot Filter Intelligence,"After updating the filter file notify the user to reload in-game. If possible detect when the game has reloaded the filter (file access timestamp) and confirm. Show a brief overlay notification: 'Filter updated — reload in game'.",Low,filter
User Configuration and Customization,Epic,User Configuration and Customization,,Give users control over how the tool behaves and displays information. Covers mod classification UI; hotkey customization; display preferences; and per-league profiles.,Medium,config
Build user-configurable mod classification UI,Story,,User Configuration and Customization,"Expose the common/key/premium mod weight lists as a toggleable UI (checkboxes or radio buttons per mod). Lets users override defaults; adapt to meta shifts; and adjust per-league without code changes. Addresses the 'we can not be right for everyone' problem with heuristic classification.",Medium,config
Add hotkey customization,Story,,User Configuration and Customization,"Let users rebind the scan trigger (currently cursor-stop-based Ctrl+C); deep query (Ctrl+Shift+C); and bug report (Ctrl+Shift+B) hotkeys. Store in config file. Validate no conflicts with game bindings.",Low,config
Add price display format options,Story,,User Configuration and Customization,"Let users choose their preferred price display: Divine only; Chaos only; both; or auto (divine for expensive items; chaos for cheap). Currently hardcoded thresholds in price_cache.py and config.py.",Low,config
Add notification threshold settings,Story,,User Configuration and Customization,"Let users set minimum value thresholds for when the overlay appears. E.g. 'only show for items worth 1+ divine' to reduce noise while mapping. Could have different thresholds for different activities (mapping vs stash sorting).",Medium,config
Add per-league settings profiles,Story,,User Configuration and Customization,"When switching leagues auto-load league-specific settings (different filter profiles; calibration data; price thresholds). Useful when playing both trade and SSF or standard vs league.",Low,config
Stash Management,Epic,Stash Management,,Add stash tab scanning and value tracking features for bulk item management.,Medium,stash
Add bulk stash tab scanning mode,Story,,Stash Management,"Scan an entire stash tab by moving cursor across all item slots systematically. Could be manual (user moves cursor) with rapid-fire Ctrl+C or semi-automated (tool moves cursor in a grid pattern). Show running value total.",Medium,stash
Add tab value summary dashboard,Story,,Stash Management,"After scanning a stash tab show a summary: total estimated value; breakdown by grade (S/A/B/C items); top 5 most valuable items; count of junk items to vendor. Could be a console table or a GUI panel.",Medium,stash
Add price tag persistence for scanned items,Story,,Stash Management,"Remember prices for items in specific stash positions so returning to a previously-scanned tab shows cached prices instantly without re-querying. Key by stash tab name + grid position + item hash.",Low,stash
Add stash tab value tracking over time,Story,,Stash Management,"Track the total value of scanned stash tabs over time. Show a simple trend: 'Dump tab: 45 divine (up from 38 divine yesterday)'. Helps players see their wealth accumulation. Store in a local database.",Low,stash
Price Intelligence and Trends,Epic,Price Intelligence and Trends,,Track and display price trends over time. Help users understand market movements and make better trading decisions.,Low,analytics
Add price history tracking,Story,,Price Intelligence and Trends,"Store historical price snapshots for items over time (hourly or per-refresh from poe2scout). Build a local time-series database (SQLite or JSONL). Enables trend analysis and alerts.",Low,analytics
Show trend arrows in overlay,Story,,Price Intelligence and Trends,"Display up/down/stable trend arrows next to prices in the overlay based on 24h price movement. Green up-arrow if price increased 10%+; red down-arrow if decreased 10%+; dash if stable. Quick visual signal for buy/sell decisions.",Low,analytics
Add league economy dashboard,Story,,Price Intelligence and Trends,"A standalone view (console or GUI) showing: top movers (biggest price changes); most expensive items; currency exchange rate trends; chaos:divine:exalted ratio over time. Useful for market-savvy players.",Low,analytics
Add price alert notifications,Story,,Price Intelligence and Trends,"Let users watchlist specific items and get notified when prices cross thresholds. E.g. 'Alert me when Divine Orbs drop below 20 chaos'. Show as overlay notification or system tray popup.",Low,analytics
Build Integration,Epic,Build Integration,,Connect with Path of Building and build planners to provide build-aware item evaluation.,Low,build
Add Path of Building import,Story,,Build Integration,"Import the user's current build from a PoB pastebin or .xml file. Extract: equipped gear; skill gems; passive tree. Use this to understand which stats the player values most.",Low,build
Add build-aware mod weighting,Story,,Build Integration,"When a build is imported adjust mod weights based on what the build actually uses. E.g. a cold DoT build values +cold damage over time multiplier much more than a generic weight table suggests. Override the default mod_database weights with build-specific values.",Low,build
Show upgrade suggestions,Story,,Build Integration,"Compare scanned items against currently equipped gear from the imported build. Highlight when a dropped item is a direct upgrade: 'Upgrade! +15% more DPS than equipped weapon'. Requires build DPS/EHP calculation or PoB integration.",Low,build
Trade Workflow,Epic,Trade Workflow,,Streamline the trading experience with whisper generation; listing helpers; and trade history.,Medium,trade
Add quick whisper message generation,Story,,Trade Workflow,"After pricing an item via the trade API offer a 'copy whisper' option that generates the standard POE2 trade whisper message for the cheapest comparable listing. Copy to clipboard with a hotkey (e.g. Ctrl+Shift+W).",Medium,trade
Add trade listing price suggestion,Story,,Trade Workflow,"When the user wants to sell an item suggest an asking price based on the trade API results. Show: undercut price (sell fast); market price (fair); premium price (if top rolls). Help players who don't know what to list for.",Medium,trade
Add price check history log,Story,,Trade Workflow,"Keep a running log of all items price-checked in the current session. Show as a scrollable list in a separate window or console view. Include: item name; grade; price; timestamp. Useful for reviewing what you've scanned.",Medium,trade
Add bulk currency trade support,Story,,Trade Workflow,"Support pricing bulk currency trades: 'I have 500 Jeweller's Orbs — what are they worth in Divine?'. Use poe.ninja exchange rates for instant bulk valuation. Show in overlay when hovering currency stacks.",Low,trade
Advanced Item Analysis,Epic,Advanced Item Analysis,,Deep item analysis features for experienced players: crafting advice; corruption analysis; and item comparison.,Low,analysis
Add crafting advisor,Story,,Advanced Item Analysis,"For rare items with open affixes suggest next crafting steps: 'Slam for life prefix' or 'Annul the mana suffix'. Use the mod_database tier data to identify which mods are worth keeping vs removing. Show in expanded overlay mode.",Low,analysis
Add corruption outcome analysis,Story,,Advanced Item Analysis,"For unique items show the value range of corruption outcomes: implicit swap values; 6-link chance; brick to rare risk. Use trade API data for corrupted variants. Help players decide whether to Vaal an item.",Low,analysis
Add item comparison mode,Story,,Advanced Item Analysis,"Side-by-side comparison of two items: scan item A then item B and see a comparison overlay showing which mods are better/worse; DPS/defense difference; and price difference. Useful for choosing between two drops.",Low,analysis
Add mirror-tier item detection,Story,,Advanced Item Analysis,"Detect items that are near-perfect rolls across all mods (T1 in 5+ mods with high rolls). Show a special indicator: 'Near-mirror tier' with an estimated mirror-service price. These items are worth far more than the sum of their mods.",Low,analysis
Performance and Reliability,Epic,Performance and Reliability,,Improve startup time; memory usage; error recovery; and offline capability. Ensure the tool is rock-solid for daily use.,High,reliability
Optimize startup time,Story,,Performance and Reliability,"Profile and optimize the startup sequence. Currently loads price cache; trade stats; mod parser; mod database; and calibration serially. Parallelize independent loads. Target: under 5 seconds from launch to 'Ready'.",Medium,reliability
Add graceful API degradation,Story,,Performance and Reliability,"When poe2scout; poe.ninja; or the trade API are down the tool should continue working with cached data and clearly indicate staleness. Show 'Cached prices (2h old)' instead of failing. Currently a failed refresh may leave stale data without warning.",High,reliability
Add offline mode,Story,,Performance and Reliability,"Support fully offline operation using last-known cached prices and local mod scoring. Useful for SSF players or when internet is unstable. Local scoring already works offline — extend price_cache to serve stale data gracefully.",Medium,reliability
Migrate debug archive to network store,Story,,Performance and Reliability,"Currently debug archives are stored locally in archive/ and are .gitignore'd. Migrate to a network-accessible store (S3; Azure Blob; or a simple file server) so archives can be shared across machines and with collaborators for debugging.",Low,reliability
Add memory usage profiling and limits,Story,,Performance and Reliability,"Profile memory usage during long sessions (4+ hours). The price cache; trade cache; calibration data; and mod database all grow over time. Add cache size limits and eviction policies. Log memory usage in status reports.",Low,reliability
Improve error recovery and auto-restart,Story,,Performance and Reliability,"When a component crashes (e.g. trade thread exception; overlay error) attempt to restart it automatically instead of requiring a full app restart. Add a watchdog thread that monitors component health.",Medium,reliability
Community and Distribution,Epic,Community and Distribution,,Prepare the project for public release and community engagement. Covers GitHub releases; documentation; contribution guide; and monetization.,Low,community
Set up GitHub releases with versioned binaries,Story,,Community and Distribution,"Create tagged releases on GitHub with PyInstaller-bundled executables. Users can download a single .exe or .zip without installing Python. Set up a release workflow in GitHub Actions.",Medium,community
Write contribution guide,Story,,Community and Distribution,"Create CONTRIBUTING.md with: project setup instructions; coding standards; PR process; how to run tests; architecture overview for new contributors. Lower the barrier for community contributions.",Low,community
Add Buy Me a Coffee integration,Story,,Community and Distribution,"Add a subtle 'Support this project' link in the settings UI and README that connects to Buy Me a Coffee or GitHub Sponsors. Should be completely unobtrusive — never shown in the overlay during gameplay.",Low,community
Set up Discord community server,Story,,Community and Distribution,"Create a Discord server for users: channels for support; bug reports; feature requests; and development discussion. Bug reporter already posts to Discord — extend with a community-facing server.",Low,community
Add opt-in anonymous usage analytics,Story,,Community and Distribution,"Collect anonymized usage data (items scanned per session; grades distribution; feature usage; crash reports) to guide development priorities. Must be opt-in with clear privacy explanation. No item data or account info.",Low,community
Add changelog automation,Story,,Community and Distribution,"Auto-generate changelogs from git commit history or PR descriptions for each release. Could use conventional commits format or a GitHub Action that compiles PR titles into CHANGELOG.md.",Low,community
Platform Core Architecture,Epic,Platform Core Architecture,,"Refactor the POE2 overlay into a game-agnostic platform with a plugin/adapter architecture. The core engine handles overlay rendering; input monitoring; caching; and rate limiting. Game-specific logic (item parsing; trade APIs; mod scoring) lives in swappable adapters. This is the foundation for multi-game support.",High,platform
Extract game-agnostic overlay engine,Story,,Platform Core Architecture,"Separate the overlay rendering (overlay.py) into a standalone module with no POE2-specific logic. The engine should accept: text; tier/color; position; animation config. Games provide display data; the engine renders it. Support theming so each game adapter can style the overlay differently.",High,platform
Define game adapter interface,Story,,Platform Core Architecture,"Design and implement the adapter protocol/ABC that each game must implement: parse_item(clipboard_text) -> Item; score_item(item) -> Score; lookup_price(item) -> Price; get_trade_url(item) -> str; get_window_title() -> str; get_currency_types() -> list. Document the contract clearly.",High,platform
Extract POE2 adapter from monolith,Story,,Platform Core Architecture,"Refactor the current codebase into the first game adapter. Move all POE2-specific code (item_parser; mod_parser; mod_database; trade_client; price_cache; filter_updater) into a poe2/ adapter package that implements the game adapter interface. Core engine imports it as a plugin.",High,platform
Build plugin discovery and loading system,Story,,Platform Core Architecture,"Implement a plugin loader that discovers game adapters at startup. Options: entry_points (setuptools); directory-based discovery (adapters/*.py); or explicit config. Support loading multiple adapters simultaneously for users who play multiple games.",Medium,platform
Create universal item model,Story,,Platform Core Architecture,"Define a game-agnostic Item data model that all adapters produce. Core fields: name; rarity; item_class; mods (list of Mod objects); stats (DPS/defense/etc); metadata. Game-specific fields go in an extras dict. This model is what the core engine operates on.",High,platform
Build shared caching infrastructure,Story,,Platform Core Architecture,"Extract the caching layer (price_cache; trade API cache; stat cache) into a shared module parameterized by game. Support: in-memory LRU; disk persistence; TTL configuration; cache warming; and size limits. Each adapter declares its cache needs.",Medium,platform
Build shared rate limiting infrastructure,Story,,Platform Core Architecture,"Extract the adaptive rate limiter from trade_client.py into a shared module. Support multiple rate limit windows per API; header-based discovery; proactive backoff; and per-game configuration. Critical for any game with trade API rate limits.",Medium,platform
Add game selection UI,Story,,Platform Core Architecture,"On startup (or in settings) let the user select which game(s) to activate. Auto-detect running games and suggest the right adapter. Support running multiple adapters simultaneously (e.g. POE2 + Last Epoch both installed).",Medium,platform
Multi-Game: Last Epoch,Epic,Multi-Game: Last Epoch,,"Build a Last Epoch adapter for the pricing platform. Last Epoch has a trade marketplace (Merchant's Guild) with a public-ish API; item affixes with tiers; and a community price tracking ecosystem (lastepochtools.com).",Medium,platform;last-epoch
Research Last Epoch item data format,Story,,Multi-Game: Last Epoch,"Investigate how Last Epoch exposes item data: clipboard format (if any); chat links; trade API item schema; affix/prefix/suffix system; crafting tiers. Identify the equivalent of POE2's clipboard Ctrl+C. Last Epoch may require screen capture + OCR or memory reading (check TOS).",Medium,last-epoch
Build Last Epoch item parser,Story,,Multi-Game: Last Epoch,"Implement parse_item() for Last Epoch. Handle: unique items; exalted items; set items; rare items with affixes. Map Last Epoch's affix tiers (T1-T7) to a scoring system. Handle sealed affixes and crafting potential.",Medium,last-epoch
Build Last Epoch price lookup,Story,,Multi-Game: Last Epoch,"Integrate with lastepochtools.com or the Merchant's Guild API for price data. Build a price cache similar to POE2's poe2scout integration. Handle Last Epoch's currency system (gold + faction standing).",Medium,last-epoch
Build Last Epoch mod scoring engine,Story,,Multi-Game: Last Epoch,"Score Last Epoch items based on affix tiers and synergies. Last Epoch has 7 affix tiers (T1 worst to T7 best in crafting; reversed for drops). Build tier ladders from game data. Factor in class-specific value (Sentinel affixes worth more to Sentinel players).",Medium,last-epoch
Multi-Game: Diablo 4,Epic,Multi-Game: Diablo 4,,"Build a Diablo 4 adapter for the pricing platform. D4 has no official trade API but has community tools and a seasonal economy. Item affixes have tiers and greater affixes are premium.",Low,platform;diablo4
Research Diablo 4 item data access,Story,,Multi-Game: Diablo 4,"Investigate how to access D4 item data: no clipboard copy exists natively. Options: screenshot + OCR of item tooltips; community API endpoints; third-party tools that expose item data. Check Blizzard TOS carefully. D4's seasonal model means item data formats may change frequently.",Low,diablo4
Build Diablo 4 item parser,Story,,Multi-Game: Diablo 4,"Implement parse_item() for Diablo 4. Handle: legendary items; unique items; greater affixes; tempering; masterworking tiers. D4's affix system is simpler than POE2 but greater affixes add significant complexity.",Low,diablo4
Build Diablo 4 affix scoring engine,Story,,Multi-Game: Diablo 4,"Score D4 items based on affix quality. Greater affixes are premium; masterworking upgrades add value; tempering results matter. Build a scoring system that understands class-specific value (different affixes matter for different builds).",Low,diablo4
Multi-Game: World of Warcraft,Epic,Multi-Game: World of Warcraft,,"Build a WoW adapter for the pricing platform. WoW has the Auction House API (Blizzard API); TSM (TradeSkillMaster) price data; and a mature economy. Focus on crafted gear; consumables; and BoE items.",Low,platform;wow
Research WoW Auction House API integration,Story,,Multi-Game: World of Warcraft,"Investigate Blizzard's AH API: authentication (OAuth); rate limits; data freshness; regional endpoints. Also evaluate TSM's API/addon data as an alternative price source. WoW items are identified by item_id + bonus_ids which is very different from POE2's text-based system.",Low,wow
Build WoW item price lookup,Story,,Multi-Game: World of Warcraft,"Integrate with Blizzard AH API and/or TSM for price data. Handle: realm-specific pricing; regional averages; historical pricing. WoW's economy is server-specific unlike POE2's league-wide economy.",Low,wow
Build WoW crafted gear scoring,Story,,Multi-Game: World of Warcraft,"Score WoW crafted gear based on item level; optional reagent choices; and embellishment slots. Factor in craft quality (1-5 stars) and resourcefulness procs. Different from POE2's mod-tier system but similar in concept.",Low,wow
Gaming Overlay SDK,Epic,Gaming Overlay SDK,,"Build a developer-facing SDK/framework that makes it easy to create game overlays. Package the core overlay engine; input monitoring; caching; and plugin system as a reusable library. Other developers can build their own game-specific tools on top.",Medium,sdk
Design SDK public API surface,Story,,Gaming Overlay SDK,"Define the public API that developers interact with: GameOverlay class; Adapter protocol; CacheManager; RateLimiter; InputMonitor; OverlayRenderer. Write API documentation with usage examples. Keep it minimal and opinionated — don't expose internal complexity.",Medium,sdk
Package core as installable library,Story,,Gaming Overlay SDK,"Restructure the project so the core engine is pip-installable: gaming-overlay-sdk on PyPI. Game adapters are separate packages (gaming-overlay-poe2; gaming-overlay-lastepoch). Use proper Python packaging (pyproject.toml; src layout).",Medium,sdk
Build example minimal adapter,Story,,Gaming Overlay SDK,"Create a minimal example adapter that demonstrates the SDK: a simple overlay that shows item names and fake prices for a hypothetical game. Serves as the 'hello world' for SDK developers. Include in docs/examples/.",Medium,sdk
Add overlay rendering backends,Story,,Gaming Overlay SDK,"Support multiple rendering backends beyond tkinter: PyQt/PySide (richer widgets; better DPI support); DirectX overlay (lower latency; game-native feel); Electron/web-based (cross-platform; rich UI). Adapter selects backend based on game requirements.",Low,sdk
Add cross-platform input monitoring,Story,,Gaming Overlay SDK,"Current input monitoring uses Win32 APIs (GetAsyncKeyState; keybd_event; GetCursorPos). Abstract behind a platform interface and add Linux support (X11/Wayland) and macOS support (Quartz). Critical for cross-platform SDK.",Low,sdk
Write SDK developer documentation,Story,,Gaming Overlay SDK,"Comprehensive docs: getting started guide; adapter development tutorial; API reference; architecture overview; deployment guide. Host on GitHub Pages or ReadTheDocs. Include cookbook recipes for common patterns.",Medium,sdk
Add overlay widget library,Story,,Gaming Overlay SDK,"Pre-built UI components for common overlay patterns: price tag; grade badge; progress bar; mini-chart (sparkline); icon+text combo; tooltip panel; notification toast. Developers compose these instead of building from scratch.",Low,sdk
Data Platform and Analytics,Epic,Data Platform and Analytics,,"Build shared data infrastructure that serves all game adapters: centralized price history; cross-game analytics; user portfolio tracking; and market intelligence. Could evolve into a hosted service.",Low,platform;data
Design cross-game price data schema,Story,,Data Platform and Analytics,"Define a universal schema for storing price data across games: item_id; game; realm/league; price; currency; timestamp; source. Support multiple price sources per item. Use SQLite locally with option to migrate to PostgreSQL for hosted service.",Low,data
Build local analytics database,Story,,Data Platform and Analytics,"Replace the scattered JSONL files (calibration.jsonl; bug_reports.jsonl) with a proper local SQLite database. Tables: items_scanned; price_history; calibration_samples; user_settings; session_stats. Enables rich querying and dashboards.",Medium,data
Add session profit tracker,Story,,Data Platform and Analytics,"Track items found and sold per session. Show: total estimated value found; items by grade; most valuable drop; estimated chaos/hour. Persist across sessions for long-term tracking. Works across all games via the universal item model.",Low,data
Add cross-game portfolio dashboard,Story,,Data Platform and Analytics,"A standalone dashboard showing wealth across all supported games: POE2 stash value; Last Epoch stash value; WoW AH listings. Unified view of gaming portfolio. Could be a local GUI or a web dashboard.",Low,data
Monetization and Sustainability,Epic,Monetization and Sustainability,,"Explore sustainable revenue models that keep the core tool free while funding development. Covers premium features; hosted services; and sponsorships.",Low,business
Research premium feature model,Story,,Monetization and Sustainability,"Identify features that could be premium (paid) without making the free tier feel crippled. Candidates: cross-game support; cloud price history; advanced analytics; priority API access; custom overlay themes. The core single-game pricing must remain free.",Low,business
Explore hosted price API service,Story,,Monetization and Sustainability,"Evaluate offering a hosted API that aggregates price data across games and serves it to third-party tools. Revenue via API key tiers (free: 100 req/day; pro: 10k req/day; enterprise: unlimited). Requires infrastructure investment.",Low,business
Add Patreon/GitHub Sponsors tier structure,Story,,Monetization and Sustainability,"Set up tiered sponsorship with meaningful benefits: Supporter ($3/mo) = name in credits; Pro ($10/mo) = early access to new game adapters; Patron ($25/mo) = vote on feature priority. Keep it sustainable not exploitative.",Low,business
