Summary,Issue Type,Epic Name,Epic Link,Description,Priority,Labels
Document the handoff document pattern,Story,,Knowledge Management and Documentation,"Formalize the pattern demonstrated by CLAUDE_CODE_HANDOFF.md: a living document that captures everything a new person (or AI) needs to be productive on a project. Template; examples; anti-patterns (too long; too vague; outdated). Works for human-to-human; human-to-AI; and team-to-team handoffs.",High,playbook;tools
Build the decision record template,Story,,Knowledge Management and Documentation,"Architecture Decision Record (ADR) template adapted for business decisions too. Sections: context; decision; consequences; alternatives considered; who decided; when to revisit. Lightweight enough to actually get used. Include a searchable index pattern.",Medium,tools
Document the living documentation system,Story,,Knowledge Management and Documentation,"How to keep documentation alive and accurate instead of rotting. Patterns: docs-as-code; automated staleness detection; ownership rotation; documentation sprints; CI for docs (broken link checks; freshness alerts). The MEMORY.md auto-update pattern as an example.",Medium,playbook
Build the onboarding accelerator template,Story,,Knowledge Management and Documentation,"A template for creating a new-hire onboarding guide for any team/project. Sections: architecture overview; key contacts; local dev setup; common tasks with walkthroughs; glossary; FAQ. Goal: new team member productive in days not weeks.",Medium,tools
Team Efficiency and Communication,Epic,Team Efficiency and Communication,,"Frameworks for team communication; meeting efficiency; async-first culture; and reducing coordination overhead. Based on 20 years of observing what makes teams fast vs what makes them slow.",Medium,playbook
Document the meeting efficiency framework,Story,,Team Efficiency and Communication,"Rules for meetings that don't waste time: when a meeting is justified vs when async works; required meeting structure (agenda; timekeeper; decisions documented); the 'no spectator' rule; recurring meeting audit pattern. Include the 'meeting cost calculator' concept.",Medium,playbook
Write the async-first communication guide,Story,,Team Efficiency and Communication,"How to build a team culture that defaults to async communication. When to use which channel (Slack; email; doc comment; PR review; meeting). How to write async messages that don't generate follow-up questions. The 'write it once; share it forever' principle.",Medium,playbook
Document the effective escalation pattern,Story,,Team Efficiency and Communication,"When and how to escalate issues without creating drama. The escalation ladder: self-serve → peer → lead → manager. What information to include when escalating. How managers should handle escalations. Anti-pattern: everything is urgent.",Medium,playbook
Build the team health check template,Story,,Team Efficiency and Communication,"A quarterly team health assessment: velocity trends; communication patterns; technical debt levels; team satisfaction; knowledge distribution (bus factor). Lightweight survey + metrics dashboard. Identifies problems before they become crises.",Medium,tools
Document the remote/hybrid team playbook,Story,,Team Efficiency and Communication,"Specific practices for distributed teams: timezone-aware scheduling; async standup formats; virtual collaboration tools; building trust without hallway conversations; managing the 'out of sight out of mind' problem.",Medium,playbook
Packaging and Distribution,Epic,Packaging and Distribution,,"Package the methodology and tools for external consumption. Covers: book/e-book formatting; workshop design; consulting engagement structure; pricing; sales materials; and the platform for delivery.",Medium,business
Design the playbook format and structure,Story,,Packaging and Distribution,"Decide on the final format: e-book (PDF/epub); web-based (Gitbook/Notion); printed book; or interactive course. Design the information architecture: how chapters flow; how tools reference principles; how examples connect to frameworks. Consider multiple formats from the same source content.",Medium,business
Build the consulting engagement template,Story,,Packaging and Distribution,"A structured template for consulting engagements where you bring this methodology to a company. Phases: assessment (1-2 weeks); recommendations (1 week); implementation coaching (4-12 weeks); retrospective (1 week). Deliverables; pricing model; success criteria per phase.",Medium,business
Create the workshop curriculum,Story,,Packaging and Distribution,"Design a 1-day or 2-day workshop that teaches the core methodology to a team. Modules: philosophy (1h); process audit exercise (2h); AI-augmented workflow lab (2h); knowledge management setup (1h); action planning (1h). Include facilitator guide and participant materials.",Medium,business
Build the methodology website,Story,,Packaging and Distribution,"A public-facing website that presents the methodology: overview; framework summaries; sample chapters; tool downloads; testimonials; consulting inquiry form. Could be a simple static site (GitHub Pages) or a more polished marketing site.",Low,business
Create case study templates,Story,,Packaging and Distribution,"Template for writing case studies that demonstrate the methodology in action. The POE2 overlay project is case study #1: from idea to working product in 12 sessions using AI-augmented development; rapid prototyping; and session-based iteration. Include metrics and outcomes.",Medium,business
Design the pricing and licensing model,Story,,Packaging and Distribution,"Define how the playbook and tools are licensed: open-source playbook + paid consulting?; freemium (core free; advanced tools paid)?; book sales + workshop fees?; subscription model?. Research what similar methodology products charge. Balance accessibility with sustainability.",Low,business
Technical Infrastructure for Methodology Platform,Epic,Technical Infrastructure for Methodology Platform,,"Build the technical platform for hosting; distributing; and maintaining the methodology content and tools. Covers content management; template distribution; analytics; and feedback collection.",Low,tools;infrastructure
Set up content authoring pipeline,Story,,Technical Infrastructure for Methodology Platform,"Choose and set up the content authoring system: Markdown source files → multiple output formats (web; PDF; epub). Could use mdBook; Docusaurus; Pandoc; or a custom pipeline. Version-controlled in Git so methodology evolves with the same rigor as code.",Medium,tools
Build the template distribution system,Story,,Technical Infrastructure for Methodology Platform,"A way for users to download and use the toolkit templates: GitHub repo with cookiecutter/copier templates; downloadable ZIP from the website; or npm/pip package with a CLI ('init-project'; 'init-process-audit'). Templates should be customizable.",Low,tools
Add analytics for methodology adoption,Story,,Technical Infrastructure for Methodology Platform,"Track how the methodology is being adopted: which chapters are most read; which tools are most downloaded; which templates are most used; feedback ratings. Aggregate anonymized data to guide updates and identify gaps. Respect privacy.",Low,analytics
Build feedback and contribution system,Story,,Technical Infrastructure for Methodology Platform,"Allow users to suggest improvements; submit their own templates/patterns; and share case studies. Could be as simple as GitHub Issues/Discussions or a more structured community platform. The methodology should evolve with real-world input.",Low,community
